id,name,created_at,updated_at,category_id
1,レディース,2019-07-15,2019-07-15
2,メンズ,2019-07-15,2019-07-15
3,ベビー・キッズ,2019-07-15,2019-07-15
4,インテリア・住まい・小物,2019-07-15,2019-07-15
5,本・音楽・ゲーム,2019-07-15,2019-07-15
6,おもちゃ・ホビー・グッズ,2019-07-15,2019-07-15
7,コスメ・香水・美容,2019-07-15,2019-07-15
8,家電・スマホ・カメラ,2019-07-15,2019-07-15
9,スポーツ・レジャー,2019-07-15,2019-07-15
10,ハンドメイド,2019-07-15,2019-07-15
11,チケット,2019-07-15,2019-07-15
12,自動車・オートバイ,2019-07-15,2019-07-15
13,その他,2019-07-15,2019-07-15
14,トップス,2019-07-15,2019-07-15,1
15,ジャケット/アウター,2019-07-15,2019-07-15,1
16,パンツ,2019-07-15,2019-07-15,1
17,スカート,2019-07-15,2019-07-15,1
18,ワンピース,2019-07-15,2019-07-15,1
19,靴,2019-07-15,2019-07-15,1
20,ルームウェア/パジャマ,2019-07-15,2019-07-15,1
21,レッグウェア,2019-07-15,2019-07-15,1
22,帽子,2019-07-15,2019-07-15,1
23,バッグ,2019-07-15,2019-07-15,1
24,アクセサリー,2019-07-15,2019-07-15,1
25,ヘアアクセサリー,2019-07-15,2019-07-15,1
26,小物,2019-07-15,2019-07-15,1
27,時計,2019-07-15,2019-07-15,1
28,ウィッグ/エクステ,2019-07-15,2019-07-15,1
29,浴衣/水着,2019-07-15,2019-07-15,1
30,スーツ/フォーマル/ドレス,2019-07-15,2019-07-15,1
31,マタニティ,2019-07-15,2019-07-15,1
32,その他,2019-07-15,2019-07-15,1
33,トップス,2019-07-15,2019-07-15,2
34,ジャケット/アウター,2019-07-15,2019-07-15,2
35,パンツ,2019-07-15,2019-07-15,2
36,靴,2019-07-15,2019-07-15,2
37,バッグ,2019-07-15,2019-07-15,2
38,スーツ,2019-07-15,2019-07-15,2
39,帽子,2019-07-15,2019-07-15,2
40,アクセサリー,2019-07-15,2019-07-15,2
